name,homepage_url,category_list, funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at
Arena Pharmaceuticals,http://www.arenapharm.com,Biotechnology," 220,260,000 ",ipo,USA,CA,San Diego,San Diego,3,1977,2009-06-17,2012-01-11
Seagate,http://www.seagate.com,Databases|Hardware|Hardware + Software|Networking|Storage|Technology," 681,759,114 ",ipo,USA,CA,SF Bay Area,Scotts Valley,1,1979,2011-12-28,2011-12-28
OSIsoft,http://www.osisoft.com,Enterprise Software," 139,500,000 ",operating,USA,CA,SF Bay Area,San Leandro,2,1980,2009-10-21,2011-01-05
Sovran Self Storage,http://unclebobs.com,Real Estate," 175,000,000 ",ipo,USA,NY,Buffalo,Buffalo,1,1982,2014-04-08,2014-04-08
Verizon Communications,http://www.verizon.com/,Communications Infrastructure|Information Technology|Mobile," 30,079,503,000 ",ipo,USA,NY,New York City,New York,5,1983,2010-01-26,2014-02-28
Medical Depot,http://drivemedical.com,Health Care," 115,000,000 ",operating,USA,NY,Long Island,Port Washington,1,1984,2013-10-08,2013-10-08
Amgen,http://www.amgen.com,Biotechnology," 175,463,420 ",ipo,USA,CA,Los Angeles,Thousand Oaks,1,1985,2012-03-12,2012-03-12
ViaSat,http://www.viasat.com,Mobile," 137,805,780 ",ipo,USA,CA,San Diego,Carlsbad,2,1986,2009-12-23,2010-07-08
8x8 Inc,https://www.8x8.com,Contact Centers|Telecommunications|Unifed Communications|Video Conferencing," 126,000,000 ",ipo,USA,CA,SF Bay Area,San Jose,1,1987,2013-11-20,2013-11-20
Aeropostale,http://aeropostale.com,Consumers|E-Commerce," 150,000,000 ",ipo,USA,NY,New York City,New York,1,1987,2014-05-28,2014-05-28
EDF Renewable Energy,http://www.edf-re.com,Clean Technology," 200,000,000 ",operating,USA,CA,San Diego,San Diego,1,1987,2013-01-10,2013-01-10
Ligand Pharmaceuticals,http://www.ligand.com,Biotechnology," 225,000,000 ",ipo,USA,CA,San Diego,San Diego,1,1987,2014-08-14,2014-08-14
Vestar Capital Partners,http://vestarcapital.com,," 260,000,000 ",operating,USA,NY,New York City,New York,1,1988,2014-05-13,2014-05-13
Amonix,http://www.amonix.com,Clean Technology," 154,400,000 ",operating,USA,CA,Los Angeles,Torrance,2,1989,2009-11-24,2010-04-21
Isis Pharmaceuticals,http://www.isispharm.com,Biotechnology," 212,250,000 ",ipo,USA,CA,San Diego,Carlsbad,2,1989,2012-08-27,2014-07-02
Rambus,http://www.rambus.com/us,Semiconductors|Technology," 288,565,568 ",ipo,USA,CA,SF Bay Area,Los Altos,2,1990,2010-02-02,2011-06-07
Cutwater Asset Management,http://www.cutwater.com,Advice|Financial Services|Intellectual Asset Management," 415,000,000 ",operating,USA,NY,New York City,Armonk,1,1991,2014-07-31,2014-07-31
CymaBay Therapeutics,http://www.cymabay.com,Biotechnology," 171,505,694 ",ipo,USA,CA,SF Bay Area,Hayward,8,1991,2003-08-29,2015-08-14
Acacia Research,http://www.acaciaresearch.com,Business Services|Intellectual Asset Management|Licensing," 255,100,000 ",ipo,USA,CA,Anaheim,Newport Beach,3,1993,1999-11-22,2012-02-21
FibroGen,http://www.fibrogen.com,Biotechnology," 126,023,000 ",operating,USA,CA,SF Bay Area,San Francisco,3,1993,2005-02-17,2014-12-10
Alien Technology,http://www.alientechnology.com,Semiconductors," 335,377,366 ",operating,USA,CA,SF Bay Area,San Jose,10,1994,2003-08-06,2014-10-09
OptiScan Biomedical,http://www.optiscancorp.com,Biotechnology," 100,756,757 ",operating,USA,CA,SF Bay Area,Hayward,4,1994,2005-10-10,2013-02-07
Sequenom,http://www.sequenom.com,Biotechnology|Health Diagnostics," 183,117,265 ",ipo,USA,CA,San Diego,San Diego,3,1994,2009-12-29,2012-09-24
DepoMed,http://www.depomed.com/,Pharmaceuticals," 875,000,000 ",ipo,USA,CA,SF Bay Area,Newark,2,1995,2014-09-04,2015-03-13
Trilliant,http://www.trilliantinc.com,Hardware + Software|Smart Grid," 146,000,000 ",operating,USA,CA,SF Bay Area,Redwood City,3,1995,2008-08-19,2010-12-21
Juniper Networks,http://www.juniper.net,Communications Hardware|Security|Technology," 120,607,339 ",ipo,USA,CA,SF Bay Area,Sunnyvale,2,1996,2012-12-27,2014-01-22
ReVision Optics,http://www.revisionoptics.com,Biotechnology," 129,999,998 ",operating,USA,CA,Anaheim,Lake Forest,4,1996,2007-04-30,2013-07-29
Rigel Pharmaceuticals,http://www.rigel.com,Biotechnology," 176,000,000 ",ipo,USA,CA,SF Bay Area,South San Francisco,2,1996,2003-06-27,2011-05-27
