name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at,,,founded_dummy
Stem,Enterprise Software,"100,097,672",operating,USA,CA,SF Bay Area,Millbrae,6,2009,20/04/11,13/08/15,,,2014
Presidio Pharmaceuticals,Biotechnology,"100,183,473",operating,USA,CA,SF Bay Area,San Francisco,6,2006,29/08/07,16/06/14,,,2014
Jaunt,Software,"100,210,000",operating,USA,CA,SF Bay Area,Palo Alto,4,2013,24/12/13,21/09/15,,,2014
ReShape Medical,Health Care,"100,250,000",operating,USA,CA,Anaheim,San Clemente,8,2008,31/08/07,26/08/15,,,2014
Marin Software,Advertising|Search Marketing|Technology,"100,268,406",ipo,USA,CA,SF Bay Area,San Francisco,9,2006,05/10/06,05/03/13,,,2014
Tillster,Enterprise Software|Mobile Commerce|Mobile Payments,"100,300,177",operating,USA,CA,San Diego,San Diego,10,2006,22/08/03,26/06/13,,,2014
Tokai Pharmaceuticals,Biotechnology,"100,499,993",ipo,USA,MA,Boston,Cambridge,4,2004,09/06/09,15/05/13,,,2014
WildTangent,Advertising|Android|App Discovery|Application Platforms|App Marketing|Digital Entertainment|Mobile,"100,500,000",operating,USA,WA,Seattle,Redmond,5,1998,01/03/00,01/11/07,,,2014
HubSpot,Lead Generation|Software,"100,500,000",ipo,USA,MA,Boston,Cambridge,6,2006,01/05/06,10/11/12,,,2014
OptiScan Biomedical,Biotechnology,"100,756,757",operating,USA,CA,SF Bay Area,Hayward,4,1994,10/10/05,07/02/13,,,2014
Xenoport,Biotechnology,"100,900,000",ipo,USA,CA,SF Bay Area,Santa Clara,4,1999,01/06/02,21/11/12,,,2014
IEX Group,Finance|Financial Exchanges|Financial Services|Stock Exchanges,"100,900,000",operating,USA,NY,New York City,New York,4,2012,29/06/12,12/05/15,,,2014
VeriSilicon Holdings,Cloud Computing|Manufacturing,"100,948,403",operating,USA,CA,SF Bay Area,Santa Clara,10,2002,01/03/03,02/07/14,,,2014
Arcadia Biosciences,Biotechnology,"101,000,000",ipo,USA,CA,Sacramento,Davis,5,2002,15/06/05,08/05/14,,,2014
Orexigen Therapeutics,Biotechnology|Health Care,"101,000,000",ipo,USA,CA,San Diego,La Jolla,3,2002,22/01/04,11/09/15,,,2014
Spot Runner,Advertising|Television,"101,000,000",operating,USA,CA,Los Angeles,Los Angeles,3,2004,01/01/06,07/05/08,,,2014
Donuts,Domains|Enterprise Software|Internet,"101,060,000",operating,USA,WA,Seattle,Bellevue,4,2010,29/04/11,01/10/13,,,2014
GoodData,Analytics|Business Intelligence|Collaboration|Enterprise Software|SaaS,"101,199,993",operating,USA,CA,SF Bay Area,San Francisco,9,2007,23/07/08,10/09/14,,,2014
Evolent Health,Health and Wellness,"101,279,000",ipo,USA,VA,"Washington, D.C.",Arlington,1,2011,30/09/13,30/09/13,,,2014
Edge Therapeutics,Biotechnology,"101,472,500",ipo,USA,NJ,Newark,Berkeley Heights,7,2009,08/11/10,09/04/15,,,2014
Capella Photonics,Web Hosting,"101,505,616",operating,USA,CA,SF Bay Area,San Jose,10,2000,21/09/05,25/05/11,,,2014
"Modernizing Medicine, Inc.",Health Care Information Technology|Software,"101,561,000",operating,USA,FL,Palm Beaches,Boca Raton,8,2010,21/01/10,21/09/15,,,2014
Talend,Big Data|Cloud Computing|Data Integration|Enterprise Software|Software,"101,580,000",operating,USA,CA,SF Bay Area,Redwood City,6,2005,01/06/06,11/12/13,,,2014
Soraa,Clean Technology|Lighting|Semiconductors,"101,600,000",operating,USA,CA,SF Bay Area,Fremont,4,2008,01/02/08,31/01/13,,,2014
