name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at
First Service Networks,Software," 10,000,000 ",operating,USA,AZ,Phoenix,Scottsdale,1,1966,2011-08-29,2011-08-29
Irisys,Fitness|Healthcare Services|Pharmaceuticals," 6,300,000 ",operating,USA,CA,San Diego,San Diego,1,1966,2015-02-13,2015-02-13
MassHousing,Real Estate," 17,800,000 ",operating,USA,MA,Boston,Boston,2,1966,2013-11-25,2014-02-07
Sandag,Consulting," 14,000,000 ",operating,USA,CA,San Diego,San Diego,1,1966,2013-09-12,2013-09-12
Tetra Tech,Consulting," 69,000,000 ",ipo,USA,CA,Los Angeles,Pasadena,1,1966,2009-10-09,2009-10-09
COCC,Finance|FinTech," 3,810,000 ",operating,USA,CT,Hartford,Avon,2,1967,2012-06-04,2014-06-11
Dataram,Computers|Hardware|Technology," 7,000,000 ",ipo,USA,NJ,NJ - Other,Princeton Junction,2,1967,2014-10-21,2015-08-11
Katy Industries,Distributors|Manufacturing," 24,000,000 ",operating,USA,MO,St. Louis,Bridgeton,1,1967,2015-04-13,2015-04-13
Riverside Research,Nonprofits," 8,700,000 ",operating,USA,MA,Boston,Lexington,1,1967,2013-08-22,2013-08-22
"Signature Therapeutics, Inc.",Biotechnology," 10,000,000 ",operating,USA,CA,SF Bay Area,San Carlos,1,1967,2011-12-16,2011-12-16
Spherix,Information Technology," 27,181,081 ",ipo,USA,DC,"Washington, D.C.",Washington,4,1967,2013-07-01,2014-06-03
UQM Technologies,Automotive," 56,800,000 ",ipo,USA,CO,Denver,Longmont,3,1967,2010-01-20,2015-10-28
Casey's General Stores,E-Commerce," 569,000,000 ",ipo,USA,IA,Des Moines,Ankeny,1,1968,2010-08-23,2010-08-23
Healthcare Corporation of America,Biotechnology," 9,125,000 ",operating,USA,TN,Nashville,Nashville,2,1968,2012-10-15,2014-06-25
Netsmart Technologies,Enterprise Software," 4,500,000 ",operating,USA,NY,NY - Other,Great River,1,1968,2005-09-19,2005-09-19
Twinlab,Pharmaceuticals," 6,306,667 ",operating,USA,NY,New York City,New York,3,1968,2015-02-06,2015-10-23
Cincinnati State Technical and Community College,Education," 2,750,000 ",operating,USA,OH,Cincinnati,Cincinnati,1,1969,2013-10-08,2013-10-08
Comprehensive Care,Biotechnology," 1,800,000 ",ipo,USA,FL,Tampa,Tampa,1,1969,2011-09-14,2011-09-14
FuelCell Energy Inc,Manufacturing," 30,000,000 ",ipo,USA,CT,Hartford,Danbury,1,1969,2014-03-02,2014-03-02
Halton,Hardware + Software," 3,000,000 ",operating,USA,KY,KY - Other,Scottsville,1,1969,2013-09-12,2013-09-12
ITC,Biotechnology," 72,500,000 ",operating,USA,NY,New York City,New York,1,1969,2010-11-18,2010-11-18
Science Applications International Corporation (SAIC),Security," 22,000,000 ",ipo,USA,VA,"Washington, D.C.",Mclean,1,1969,2010-09-13,2010-09-13
Society of Cable Telecommunications Engineers (SCTE),Hardware + Software," 2,200,000 ",operating,USA,PA,Philadelphia,Exton,1,1969,2013-10-23,2013-10-23
Bovie Medical,Health Care," 10,000,002 ",ipo,USA,FL,Tampa,Clearwater,2,1970,2010-05-07,2013-12-17
Mace Security International,Online Shopping|Security|Specialty Retail," 2,000,000 ",operating,USA,OH,Cleveland,Cleveland,1,1970,2015-01-20,2015-01-20
NPR,Music|Nonprofits," 17,000,000 ",operating,USA,DC,"Washington, D.C.",Washington,1,1970,2013-12-15,2013-12-15
PluroGen Therapeutics,Health Care," 3,378,194 ",operating,USA,VA,"Washington, D.C.",Charlottesville,4,1970,2007-04-13,2014-04-08
3SI Security Systems,Physical Security|Security," 13,000,000 ",operating,USA,PA,Philadelphia,Malvern,1,1971,2002-07-29,2002-07-29
Borders Group,E-Commerce," 25,000,000 ",operating,USA,MI,Detroit,Ann Arbor,1,1971,2010-05-13,2010-05-13
Cardinal Health,Health and Wellness|Health Care|Hospitals," 1,500,000,000 ",ipo,USA,OH,"Columbus, Ohio",Dublin,1,1971,2006-08-16,2006-08-16
First Data Corporation,Payments|Trading," 3,500,000,000 ",ipo,USA,GA,Atlanta,Atlanta,1,1971,2014-07-03,2014-07-03
Merkle,Advertising," 75,000,000 ",operating,USA,MD,Baltimore,Columbia,1,1971,2010-10-14,2010-10-14
Quad/Graphics,Local Businesses," 1,900,000,000 ",ipo,USA,WI,Milwaukee,Sussex,1,1971,2014-04-28,2014-04-28
The Fred Rogers,Social Media," 3,000,000 ",operating,USA,PA,Pittsburgh,Pittsburgh,1,1971,2013-11-12,2013-11-12
Atari,Games," 7,260,000 ",operating,USA,NY,New York City,New York,1,1972,2005-09-15,2005-09-15
Digestive Disease Associates,Biotechnology," 1,132,416 ",operating,USA,PA,Philadelphia,Reading,1,1972,2009-09-23,2009-09-23
Interbill Corporation,Finance|Software|Venture Capital," 2,500,000 ",operating,USA,CA,Napa Valley,Rohnert Park,1,1972,2014-10-16,2014-10-16
Sysorex,Consulting|Technology," 39,412,418 ",ipo,USA,CA,SF Bay Area,Santa Clara,5,1972,2011-09-20,2015-10-27
The University of Texas Health Science Center at Houston,Education|Life Sciences|Medical|Medical Professionals," 8,800,000 ",operating,USA,TX,Houston,Houston,2,1972,2014-08-21,2014-12-08
Wistar Institute,Biotechnology|Life Sciences|Medical," 1,100,000 ",operating,USA,PA,Philadelphia,Philadelphia,1,1972,2015-03-13,2015-03-13
Aspect Software,Collaboration|Contact Centers|Customer Service|Software|Unifed Communications," 50,000,000 ",operating,USA,MA,Boston,Chelmsford,1,1973,2002-11-15,2002-11-15
Body Central,Fashion," 18,000,016 ",ipo,USA,FL,Jacksonville,Jacksonville,1,1973,2014-07-14,2014-07-14
Famous Industries,Consumer Goods|Wine And Spirits," 4,000,000 ",operating,USA,IL,Chicago,Lombard,1,1973,2013-04-01,2013-04-01
Lattice Incorporated,Web Hosting," 2,572,600 ",operating,USA,NJ,NJ - Other,Pennsauken,3,1973,2011-02-22,2014-04-08
AirNet Communications,Messaging|Telecommunications," 12,000,000 ",ipo,USA,FL,Florida's Space Coast,Melbourne Beach,2,1974,2003-01-27,2005-11-08
Enservco Corporation,Customer Service|Oil|Oil and Gas|Services," 40,000,000 ",operating,USA,CO,Denver,Denver,1,1974,2014-08-05,2014-08-05
Headway Workforce Solutions,Staffing Firms," 1,500,000 ",operating,USA,NC,Raleigh,Raleigh,1,1974,2015-02-27,2015-02-27
ISC8,Security|Software|Wireless," 5,140,000 ",operating,USA,TX,Dallas,Plano,1,1974,2013-11-18,2013-11-18
Northwest Evaluation Association,Nonprofits," 17,000,000 ",operating,USA,OR,"Portland, Oregon",Portland,1,1974,2011-09-20,2011-09-20
Quality Systems,Biotechnology," 23,394,037 ",ipo,USA,CA,Anaheim,Irvine,2,1974,2010-02-12,2011-04-11
Central Security Group,Business Services|Energy Management|Home Automation|Home & Garden|Home Owners|Industrial Energy Efficiency|Location Based Services|Network Security|Physical Security|Professional Services|Security|Video," 10,000,000 ",operating,USA,OK,Tulsa,Tulsa,2,1975,2009-09-15,2010-10-20
katena,Hardware + Software," 7,500,000 ",operating,USA,NJ,Newark,Denville,1,1975,2013-12-23,2013-12-23
Maximus,Business Services," 7,926,732 ",ipo,USA,VA,"Washington, D.C.",Reston,1,1975,2010-12-09,2010-12-09
Speakeasy Inc,Consulting," 3,350,909 ",operating,USA,GA,Atlanta,Atlanta,2,1975,2013-08-02,2014-08-27
Advocate Health Care,Health and Wellness," 18,000,000 ",operating,USA,IL,Chicago,Oak Brook,1,1976,2013-10-03,2013-10-03
