name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at,,,founded_dummy
First Service Networks,Software,"10,000,000",operating,USA,AZ,Phoenix,Scottsdale,1,1966,29/08/11,29/08/11,,,1966
Irisys,Fitness|Healthcare Services|Pharmaceuticals,"6,300,000",operating,USA,CA,San Diego,San Diego,1,1966,13/02/15,13/02/15,,,1966
MassHousing,Real Estate,"17,800,000",operating,USA,MA,Boston,Boston,2,1966,25/11/13,07/02/14,,,1966
Sandag,Consulting,"14,000,000",operating,USA,CA,San Diego,San Diego,1,1966,12/09/13,12/09/13,,,1966
Tetra Tech,Consulting,"69,000,000",ipo,USA,CA,Los Angeles,Pasadena,1,1966,09/10/09,09/10/09,,,1966
COCC,Finance|FinTech,"3,810,000",operating,USA,CT,Hartford,Avon,2,1967,04/06/12,11/06/14,,,1967
Dataram,Computers|Hardware|Technology,"7,000,000",ipo,USA,NJ,NJ - Other,Princeton Junction,2,1967,21/10/14,11/08/15,,,1967
Katy Industries,Distributors|Manufacturing,"24,000,000",operating,USA,MO,St. Louis,Bridgeton,1,1967,13/04/15,13/04/15,,,1967
Riverside Research,Nonprofits,"8,700,000",operating,USA,MA,Boston,Lexington,1,1967,22/08/13,22/08/13,,,1967
"Signature Therapeutics, Inc.",Biotechnology,"10,000,000",operating,USA,CA,SF Bay Area,San Carlos,1,1967,16/12/11,16/12/11,,,1967
Spherix,Information Technology,"27,181,081",ipo,USA,DC,"Washington, D.C.",Washington,4,1967,01/07/13,03/06/14,,,1967
UQM Technologies,Automotive,"56,800,000",ipo,USA,CO,Denver,Longmont,3,1967,20/01/10,28/10/15,,,1967
Casey's General Stores,E-Commerce,"569,000,000",ipo,USA,IA,Des Moines,Ankeny,1,1968,23/08/10,23/08/10,,,1968
Healthcare Corporation of America,Biotechnology,"9,125,000",operating,USA,TN,Nashville,Nashville,2,1968,15/10/12,25/06/14,,,1968
Netsmart Technologies,Enterprise Software,"4,500,000",operating,USA,NY,NY - Other,Great River,1,1968,19/09/05,19/09/05,,,1968
Twinlab,Pharmaceuticals,"6,306,667",operating,USA,NY,New York City,New York,3,1968,06/02/15,23/10/15,,,1968
Cincinnati State Technical and Community College,Education,"2,750,000",operating,USA,OH,Cincinnati,Cincinnati,1,1969,08/10/13,08/10/13,,,1969
Comprehensive Care,Biotechnology,"1,800,000",ipo,USA,FL,Tampa,Tampa,1,1969,14/09/11,14/09/11,,,1969
FuelCell Energy Inc,Manufacturing,"30,000,000",ipo,USA,CT,Hartford,Danbury,1,1969,02/03/14,02/03/14,,,1969
Halton,Hardware + Software,"3,000,000",operating,USA,KY,KY - Other,Scottsville,1,1969,12/09/13,12/09/13,,,1969
ITC,Biotechnology,"72,500,000",operating,USA,NY,New York City,New York,1,1969,18/11/10,18/11/10,,,1969
Science Applications International Corporation (SAIC),Security,"22,000,000",ipo,USA,VA,"Washington, D.C.",Mclean,1,1969,13/09/10,13/09/10,,,1969
Society of Cable Telecommunications Engineers (SCTE),Hardware + Software,"2,200,000",operating,USA,PA,Philadelphia,Exton,1,1969,23/10/13,23/10/13,,,1969
Bovie Medical,Health Care,"10,000,002",ipo,USA,FL,Tampa,Clearwater,2,1970,07/05/10,17/12/13,,,1970
Mace Security International,Online Shopping|Security|Specialty Retail,"2,000,000",operating,USA,OH,Cleveland,Cleveland,1,1970,20/01/15,20/01/15,,,1970
NPR,Music|Nonprofits,"17,000,000",operating,USA,DC,"Washington, D.C.",Washington,1,1970,15/12/13,15/12/13,,,1970
PluroGen Therapeutics,Health Care,"3,378,194",operating,USA,VA,"Washington, D.C.",Charlottesville,4,1970,13/04/07,08/04/14,,,1970
3SI Security Systems,Physical Security|Security,"13,000,000",operating,USA,PA,Philadelphia,Malvern,1,1971,29/07/02,29/07/02,,,1971
Borders Group,E-Commerce,"25,000,000",operating,USA,MI,Detroit,Ann Arbor,1,1971,13/05/10,13/05/10,,,1971
Cardinal Health,Health and Wellness|Health Care|Hospitals,"1,500,000,000",ipo,USA,OH,"Columbus, Ohio",Dublin,1,1971,16/08/06,16/08/06,,,1971
First Data Corporation,Payments|Trading,"3,500,000,000",ipo,USA,GA,Atlanta,Atlanta,1,1971,03/07/14,03/07/14,,,1971
Merkle,Advertising,"75,000,000",operating,USA,MD,Baltimore,Columbia,1,1971,14/10/10,14/10/10,,,1971
Quad/Graphics,Local Businesses,"1,900,000,000",ipo,USA,WI,Milwaukee,Sussex,1,1971,28/04/14,28/04/14,,,1971
The Fred Rogers,Social Media,"3,000,000",operating,USA,PA,Pittsburgh,Pittsburgh,1,1971,12/11/13,12/11/13,,,1971
Atari,Games,"7,260,000",operating,USA,NY,New York City,New York,1,1972,15/09/05,15/09/05,,,1972
Digestive Disease Associates,Biotechnology,"1,132,416",operating,USA,PA,Philadelphia,Reading,1,1972,23/09/09,23/09/09,,,1972
Interbill Corporation,Finance|Software|Venture Capital,"2,500,000",operating,USA,CA,Napa Valley,Rohnert Park,1,1972,16/10/14,16/10/14,,,1972
Sysorex,Consulting|Technology,"39,412,418",ipo,USA,CA,SF Bay Area,Santa Clara,5,1972,20/09/11,27/10/15,,,1972
The University of Texas Health Science Center at Houston,Education|Life Sciences|Medical|Medical Professionals,"8,800,000",operating,USA,TX,Houston,Houston,2,1972,21/08/14,08/12/14,,,1972
Wistar Institute,Biotechnology|Life Sciences|Medical,"1,100,000",operating,USA,PA,Philadelphia,Philadelphia,1,1972,13/03/15,13/03/15,,,1972
Aspect Software,Collaboration|Contact Centers|Customer Service|Software|Unifed Communications,"50,000,000",operating,USA,MA,Boston,Chelmsford,1,1973,15/11/02,15/11/02,,,1973
Body Central,Fashion,"18,000,016",ipo,USA,FL,Jacksonville,Jacksonville,1,1973,14/07/14,14/07/14,,,1973
Famous Industries,Consumer Goods|Wine And Spirits,"4,000,000",operating,USA,IL,Chicago,Lombard,1,1973,01/04/13,01/04/13,,,1973
Lattice Incorporated,Web Hosting,"2,572,600",operating,USA,NJ,NJ - Other,Pennsauken,3,1973,22/02/11,08/04/14,,,1973
AirNet Communications,Messaging|Telecommunications,"12,000,000",ipo,USA,FL,Florida's Space Coast,Melbourne Beach,2,1974,27/01/03,08/11/05,,,1974
Enservco Corporation,Customer Service|Oil|Oil and Gas|Services,"40,000,000",operating,USA,CO,Denver,Denver,1,1974,05/08/14,05/08/14,,,1974
Headway Workforce Solutions,Staffing Firms,"1,500,000",operating,USA,NC,Raleigh,Raleigh,1,1974,27/02/15,27/02/15,,,1974
ISC8,Security|Software|Wireless,"5,140,000",operating,USA,TX,Dallas,Plano,1,1974,18/11/13,18/11/13,,,1974
Northwest Evaluation Association,Nonprofits,"17,000,000",operating,USA,OR,"Portland, Oregon",Portland,1,1974,20/09/11,20/09/11,,,1974
Quality Systems,Biotechnology,"23,394,037",ipo,USA,CA,Anaheim,Irvine,2,1974,12/02/10,11/04/11,,,1974
Central Security Group,Business Services|Energy Management|Home Automation|Home & Garden|Home Owners|Industrial Energy Efficiency|Location Based Services|Network Security|Physical Security|Professional Services|Security|Video,"10,000,000",operating,USA,OK,Tulsa,Tulsa,2,1975,15/09/09,20/10/10,,,1975
katena,Hardware + Software,"7,500,000",operating,USA,NJ,Newark,Denville,1,1975,23/12/13,23/12/13,,,1975
Maximus,Business Services,"7,926,732",ipo,USA,VA,"Washington, D.C.",Reston,1,1975,09/12/10,09/12/10,,,1975
Speakeasy Inc,Consulting,"3,350,909",operating,USA,GA,Atlanta,Atlanta,2,1975,02/08/13,27/08/14,,,1975
Advocate Health Care,Health and Wellness,"18,000,000",operating,USA,IL,Chicago,Oak Brook,1,1976,03/10/13,03/10/13,,,1976
Cadec Global,Mobile,"4,000,000",operating,USA,NH,"Manchester, New Hampshire",Manchester,1,1976,02/04/09,02/04/09,,,1976
California Arts Council,Design,"2,000,000",operating,USA,CA,Sacramento,Sacramento,1,1976,17/07/13,17/07/13,,,1976
Cleo,File Sharing|Software,"3,500,000",operating,USA,IL,Rockford,Loves Park,1,1976,16/05/12,16/05/12,,,1976
CommScope,Broadcasting|Communications Hardware|Hardware + Software,"100,000,000",ipo,USA,TX,Dallas,Richardson,1,1976,23/03/09,23/03/09,,,1976
"Dots ,LLC",Fashion,"51,000,000",operating,USA,OH,Cleveland,Solon,1,1976,13/09/13,13/09/13,,,1976
Ebix,Software,"25,000,000",ipo,USA,GA,Atlanta,Atlanta,1,1976,15/10/09,15/10/09,,,1976
Seattle Biomedical Research Institute,Biotechnology,"26,000,000",operating,USA,WA,Seattle,Seattle,2,1976,15/08/13,10/03/14,,,1976
ViewPoint Construction Software,Software,"316,000,000",operating,USA,OR,"Portland, Oregon",Portland,4,1976,02/02/10,22/04/14,,,1976
Aehr Test Systems,Hardware + Software,"7,857,000",ipo,USA,CA,SF Bay Area,Fremont,4,1977,19/09/85,22/04/15,,,1977
Arena Pharmaceuticals,Biotechnology,"220,260,000",ipo,USA,CA,San Diego,San Diego,3,1977,17/06/09,11/01/12,,,1977
Basys,Software,"3,742,188",operating,USA,MD,Baltimore,Linthicum Heights,3,1977,17/07/09,18/09/14,,,1977
Electronic Warfare Associates,Electronics|Security,"21,500,000",operating,USA,VA,"Washington, D.C.",Herndon,1,1977,11/05/15,11/05/15,,,1977
Harris Research,Business Services|Clean Technology|Service Providers,"48,300,000",operating,USA,UT,Salt Lake City,Logan,2,1977,06/09/96,24/12/02,,,1977
MedLink,Biotechnology,"1,250,000",operating,USA,NY,Long Island,Hauppauge,1,1977,15/11/10,15/11/10,,,1977
Primekss,Real Estate,"12,866,000",operating,USA,IL,Chicago,Schaumburg,1,1977,09/02/14,09/02/14,,,1977
Qvidian,Sales Automation|Software,"31,170,000",operating,USA,MA,Boston,Lowell,2,1977,31/12/08,04/06/10,,,1977
Axcelis Technologies,Semiconductors,"15,000,000",ipo,USA,MA,Boston,Beverly,1,1978,09/07/13,09/07/13,,,1978
Curacao,E-Commerce,"15,000,000",operating,USA,CA,Los Angeles,Los Angeles,1,1978,18/08/11,18/08/11,,,1978
DBi Services,Public Transportation,"35,000,000",operating,USA,PA,Scranton,Hazleton,1,1978,17/03/14,17/03/14,,,1978
FiveCubits,Software,"7,596,725",operating,USA,IL,Chicago,Elmhurst,1,1978,08/12/10,08/12/10,,,1978
Integral Vision,Hardware + Software,"18,741,270",operating,USA,MI,Detroit,Wixom,3,1978,30/11/11,25/06/12,,,1978
Mercy Ships,Nonprofits,"2,000,000",operating,USA,GA,GA - Other,Lindale,1,1978,26/12/13,26/12/13,,,1978
Micron Technology,Semiconductors,"50,410,400",ipo,USA,ID,Boise,Boise,4,1978,25/10/06,01/09/13,,,1978
Myer,E-Commerce,"181,592,251",operating,USA,FL,Florida's Space Coast,Melbourne Beach,1,1978,06/01/10,06/01/10,,,1978
Pressure BioSciences,Biotechnology|Health Diagnostics,"10,628,756",ipo,USA,MA,Boston,South Easton,9,1978,20/02/09,09/03/14,,,1978
SecureOne Data Solutions,BPO Services|Databases|Web Design,"12,000,000",operating,USA,NY,Long Island,Stony Brook,1,1978,03/10/07,03/10/07,,,1978
Specialty Physicians Surgicenter of Kansas City,Health Care,"1,553,266",operating,USA,MO,Kansas City,Kansas City,1,1978,09/02/12,09/02/12,,,1978
Trimble,Gps|Indoor Positioning|Navigation|Service Providers|Web Hosting,"19,200,000",ipo,USA,CA,SF Bay Area,Sunnyvale,1,1978,15/01/02,15/01/02,,,1978
AAIPharma Services,Biotechnology,"20,000,000",operating,USA,NC,"Wilmington - Cape Fear, North Carolina",Wilmington,1,1979,11/01/12,11/01/12,,,1979
ABARTA Oil & Gas,Oil & Gas,"24,750,000",operating,USA,PA,Pittsburgh,Pittsburgh,1,1979,28/01/15,28/01/15,,,1979
Addus HealthCare,Health and Wellness|Health Care,"1,240,000",ipo,USA,IL,Chicago,Palatine,1,1979,10/08/10,10/08/10,,,1979
AmeriTech College,Education,"6,800,000",operating,USA,UT,Salt Lake City,Provo,1,1979,15/03/12,15/03/12,,,1979
Amplion Clinical Communications,Health Care,"6,706,000",operating,USA,TN,Nashville,Nashville,3,1979,01/09/12,01/09/13,,,1979
Dyadic International,Biotechnology,"2,000,000",ipo,USA,FL,Palm Beaches,Jupiter,1,1979,09/03/15,09/03/15,,,1979
Dynatronics Corporation,Medical,"4,000,000",ipo,USA,UT,Salt Lake City,Salt Lake City,1,1979,04/05/15,04/05/15,,,1979
Event Source,Event Management,"19,000,000",operating,USA,IL,IL - Other,Ohio,1,1979,12/06/00,12/06/00,,,1979
Galloway Realty,Real Estate,"17,000,000",operating,USA,AZ,Phoenix,Phoenix,1,1979,25/09/14,25/09/14,,,1979
General Communication,Mobile,"75,000,000",ipo,USA,AK,Anchorage,Anchorage,1,1979,04/12/14,04/12/14,,,1979
GoodLife Fitness,Health and Wellness,"70,000,000",operating,USA,CA,Ontario - Inland Empire,Ontario,1,1979,08/04/15,08/04/15,,,1979
Guardian Healthcare,Biotechnology,"4,552,736",operating,USA,TX,Dallas,Mckinney,1,1979,15/07/10,15/07/10,,,1979
MGT Capital Investments,Finance|FinTech,"8,939,981",operating,USA,NY,New York City,Harrison,3,1979,19/11/12,12/12/13,,,1979
P2 Energy Solutions,Software,"250,000,000",operating,USA,CO,Denver,Denver,2,1979,17/06/08,07/10/13,,,1979
Pathology Holdings,Biotechnology,"24,654,366",operating,USA,CA,Los Angeles,Torrance,1,1979,20/10/09,20/10/09,,,1979
Promotion In Motion,Food Processing,"3,000,000",operating,USA,NJ,Newark,Allendale,1,1979,28/03/08,28/03/08,,,1979
RPI (Reischling Press),Manufacturing,"10,000,000",operating,USA,WA,Seattle,Seattle,2,1979,22/07/10,25/10/10,,,1979
Seagate,Databases|Hardware|Hardware + Software|Networking|Storage|Technology,"681,759,114",ipo,USA,CA,SF Bay Area,Scotts Valley,1,1979,28/12/11,28/12/11,,,1979
STI Technologies,Software,"17,000,000",operating,USA,NY,"Rochester, New York",Rochester,1,1979,18/10/13,18/10/13,,,1979
US Data Corporation,Advertising|App Marketing|B2B|Direct Marketing|Email Marketing|Lead Generation,"1,500,000",operating,USA,NE,Omaha,Omaha,1,1979,29/01/03,29/01/03,,,1979
Viragen,Biotechnology,"9,430,000",operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,3,1979,15/09/05,16/04/07,,,1979
